delivery_id,order_id,driver_id,vehicle_id,hub_id,dispatch_time,delivery_completed_at,delivery_status,route_distance_km,manual_route_override_count,proof_of_completion_missing,customer_rating_post_delivery,fuel_or_charge_cost,delivery_duration_hrs,is_delayed,high_override
DL00001,O00938,D004,V056,H05,2024-06-18 10:57:00,2024-06-19 09:05:59.904,Failed,17.26,1,0,3.07,12.05,22.14997333333333,1,0
DL00002,O00004,D138,V007,H02,2025-01-11 18:45:00,2025-01-11 17:39:00.000,OnTime,10.34,1,0,5.0,13.41,-1.1,0,0
DL00003,O00639,D006,V049,H02,2025-06-02 20:39:00,2025-06-02 21:45:32.367,OnTime,7.92,0,0,4.98,8.51,1.1089908333333334,0,0
DL00004,O00313,D116,V055,H02,2024-03-08 23:31:00,2024-03-09 23:30:08.104,Delayed,16.42,0,0,4.18,13.62,23.985584444444445,1,0
DL00005,O00844,D108,V034,H01,2025-09-21 11:43:00,2025-09-21 15:45:34.131,OnTime,14.52,1,0,4.18,9.22,4.042814166666666,0,0
DL00006,O00029,D037,V098,H03,2024-09-11 12:40:00,2024-09-12 17:11:52.385,Delayed,13.84,0,0,1.57,9.58,28.531218055555556,1,0
DL00007,O00097,D151,V037,H07,2024-01-09 13:41:00,2024-01-10 23:39:11.073,Delayed,32.72,0,0,4.64,17.7,33.9697425,1,0
DL00008,O00207,D082,V066,H03,2024-08-22 21:34:00,2024-08-22 23:22:21.531,OnTime,7.16,1,0,3.76,11.66,1.8059808333333334,0,0
DL00009,O00297,D088,V029,H05,2024-04-12 21:33:00,2024-04-13 01:18:52.673,OnTime,40.23,1,0,3.7,15.78,3.764631388888889,0,0
DL00010,O00836,D058,V057,H08,2025-09-22 19:09:00,2025-09-23 01:15:29.151,Failed,9.85,1,0,3.2,9.31,6.1080975,1,0
DL00011,O00202,D074,V117,H04,2024-02-02 03:09:00,2024-02-02 02:29:05.368,OnTime,13.85,0,0,4.36,15.17,-0.6651755555555555,0,0
DL00012,O01207,D051,V017,H05,2024-12-26 19:41:00,2024-12-27 09:26:05.388,Failed,16.96,3,0,4.04,16.98,13.751496666666666,1,1
DL00013,O01031,D105,V085,H04,2025-01-26 08:29:00,2025-01-26 10:33:30.834,OnTime,6.01,2,0,3.96,11.52,2.075231666666667,0,1
DL00014,O00725,D102,V008,H05,2024-05-07 12:40:00,2024-05-07 20:50:43.796,OnTime,16.46,0,0,3.67,11.74,8.178832222222221,0,0
DL00015,O00394,D067,V056,H04,2024-08-16 22:47:00,2024-08-17 08:15:56.081,OnTime,26.58,3,0,4.47,21.64,9.482244722222221,0,1
DL00016,O01220,D010,V091,H08,2025-06-12 01:47:00,2025-06-12 04:51:00.780,OnTime,18.25,1,0,5.0,12.61,3.0668833333333336,0,0
DL00017,O01249,D002,V008,H05,2024-08-25 18:26:00,2024-08-26 03:05:42.087,Delayed,20.79,0,0,1.0,15.62,8.661690833333333,1,0
DL00018,O00611,D011,V001,H01,2025-07-29 10:52:00,2025-07-29 09:54:19.874,OnTime,13.67,0,0,4.46,16.18,-0.9611461111111111,0,0
DL00019,O01167,D026,V004,H06,2024-06-25 23:58:00,2024-06-26 07:52:41.272,OnTime,16.35,4,0,4.97,13.97,7.911464444444444,0,1
DL00020,O00054,D157,V065,H01,2025-03-29 12:59:00,2025-03-29 14:40:37.791,OnTime,24.31,0,0,4.15,12.61,1.6938308333333334,0,0
DL00021,O00250,D117,V081,H08,2025-04-24 14:20:00,2025-04-25 11:20:52.917,OnTime,9.77,4,0,4.07,6.43,21.014699166666666,0,1
DL00022,O01027,D088,V011,H07,2025-08-24 00:21:00,2025-08-24 04:25:39.715,Failed,15.81,0,0,3.5,15.62,4.077698611111111,1,0
DL00023,O00768,D046,V021,H08,2025-06-12 01:16:00,2025-06-12 02:37:11.393,OnTime,4.29,1,0,5.0,2.5,1.3531647222222223,0,0
DL00024,O01054,D045,V029,H02,2025-08-19 14:33:00,2025-08-19 18:11:44.601,OnTime,8.58,0,0,4.78,14.62,3.6457225,0,0
DL00025,O00288,D130,V098,H04,2025-09-08 19:57:00,2025-09-08 22:37:15.665,OnTime,7.41,0,0,5.0,7.2,2.671018055555556,0,0
